scenario,x_value,method,runs,linear_objective_mean,linear_gap_pct_mean,entropy_objective_mean,soft_mass_mean,expected_successful_samples_mean,mean_packet_error_mean,fl_quality_mean,fractional_mass_ratio_mean,kkt_residual_mean,runtime_seconds_mean,runtime_seconds_std
rbs,5,Continuous-LP(HiGHS),5,835.7899403385,0.0000000000,835.7899403385,5.0000000000,837.6100596615,0.0267475511,0.5027321298,0.0000000000,0.0000000000e+00,0.0016545600,0.0001709179
rbs,5,Hungarian(reference),5,835.7899403385,0.0000000000,835.7899403385,5.0000000000,837.6100596615,0.0267475511,0.5027321298,0.0000000000,0.0000000000e+00,0.0000271800,0.0000049898
rbs,5,Soft-Entropy-KKT(tau=1),5,837.2617735674,0.1762098295,773.7510105848,5.0000000000,836.1382264326,0.0280937768,0.5018556926,0.9999999068,3.0335117870e-05,0.0037426400,0.0005725637
rbs,5,Soft-Entropy-KKT(tau=25),5,930.3381035213,11.6470206769,-925.8472755636,4.9727006333,743.0618964787,0.0665847897,0.4454560464,1.0000000000,5.8073990061e-12,0.0002045200,0.0000147876
rbs,5,Soft-Entropy-KKT(tau=5),5,848.7475201944,1.5733948537,508.8227046857,4.9999999995,824.6524798056,0.0363325014,0.4949370377,0.9999997259,3.5399772002e-11,0.0008027400,0.0003099120
rbs,9,Continuous-LP(HiGHS),5,428.8254522778,0.0000000000,428.8254522778,9.0000000000,1306.7745477222,0.0232195005,0.7534509465,0.0000000000,0.0000000000e+00,0.0020242000,0.0002770641
rbs,9,Hungarian(reference),5,428.8254522778,0.0000000000,428.8254522778,9.0000000000,1306.7745477222,0.0232195005,0.7534509465,0.0000000000,0.0000000000e+00,0.0000384800,0.0000047608
rbs,9,Soft-Entropy-KKT(tau=1),5,432.0105120542,0.7530437684,357.0669077819,9.0000000000,1303.5894879458,0.0247432562,0.7516046566,0.9999998005,1.8688865389e-04,0.0044621200,0.0006011250
rbs,9,Soft-Entropy-KKT(tau=25),5,581.2601966428,36.3533593276,-1696.4147054011,8.7358108023,1154.3398033572,0.0630866880,0.6650172755,1.0000000000,1.0968892461e-11,0.0003177400,0.0000631985
rbs,9,Soft-Entropy-KKT(tau=5),5,448.1426692432,4.5752012911,40.4610431093,8.9999989113,1287.4573307568,0.0335765427,0.7422125053,0.9999997250,3.8295300264e-11,0.0017145600,0.0006351866
rbs,12,Continuous-LP(HiGHS),5,148.2533499681,0.0000000000,148.2533499681,12.0000000000,1497.1466500319,0.0206530537,0.9103059675,0.0000000000,0.0000000000e+00,0.0026084000,0.0003470096
rbs,12,Hungarian(reference),5,148.2533499681,0.0000000000,148.2533499681,12.0000000000,1497.1466500319,0.0206530537,0.9103059675,0.0000000000,0.0000000000e+00,0.0000464000,0.0000040014
rbs,12,Soft-Entropy-KKT(tau=1),5,154.2930962668,4.3277666857,71.6825047495,12.0000000000,1491.1069037332,0.0251994104,0.9065925822,0.9999997316,5.1294360639e-04,0.0044647200,0.0012910293
rbs,12,Soft-Entropy-KKT(tau=25),5,346.8513188757,142.1398897814,-2286.5004177572,10.8850811736,1298.5486811243,0.0714324376,0.7883226296,1.0000000000,1.4186207764e-12,0.0002641800,0.0000510451
rbs,12,Soft-Entropy-KKT(tau=5),5,179.4503624031,22.3489234150,-285.7607041657,11.9952053200,1465.9496375969,0.0397964766,0.8911310697,0.9999999016,5.1962900649e-11,0.0014570400,0.0007245954
rbs,15,Continuous-LP(HiGHS),5,33.3152032217,0.0000000000,33.3152032217,15.0000000000,1532.6847967783,0.0261644494,0.9789307319,0.0000000000,0.0000000000e+00,0.0024981400,0.0004055880
rbs,15,Hungarian(reference),5,33.3152032217,0.0000000000,33.3152032217,15.0000000000,1532.6847967783,0.0261644494,0.9789307319,0.0000000000,0.0000000000e+00,0.0000530800,0.0000079305
rbs,15,Soft-Entropy-KKT(tau=1),5,40.8067708034,24.0086970260,-51.0716889691,14.9918396457,1525.1932291966,0.0314086005,0.9740908989,0.9999998225,5.4775317969e-04,0.0043779200,0.0002844287
rbs,15,Soft-Entropy-KKT(tau=25),5,265.9229132528,737.3934451397,-2791.2114329395,11.9893704229,1300.0770867472,0.0848042412,0.8293622340,1.0000000000,8.0451201257e-13,0.0002451800,0.0000522920
rbs,15,Soft-Entropy-KKT(tau=5),5,79.1241835835,142.4819939190,-455.8076746170,14.5142358661,1486.8758164165,0.0507995842,0.9496102128,0.9999998735,2.6342039661e-11,0.0010058800,0.0001665024
rbs,20,Continuous-LP(HiGHS),5,18.3394594667,0.0000000000,18.3394594667,15.0000000000,1723.4605405333,0.0108458075,0.9895487151,0.0000000000,0.0000000000e+00,0.0028633600,0.0004878387
rbs,20,Hungarian(reference),5,18.3394594667,0.0000000000,18.3394594667,15.0000000000,1723.4605405333,0.0108458075,0.9895487151,0.0000000000,0.0000000000e+00,0.0000468800,0.0000039448
rbs,20,Soft-Entropy-KKT(tau=1),5,27.2478877149,52.4845669959,-101.2744459068,14.9999999998,1714.5521122851,0.0171293667,0.9844136491,0.9999997185,3.5727110159e-11,0.0004784800,0.0001158497
rbs,20,Soft-Entropy-KKT(tau=25),5,180.3702950689,975.2311898812,-3565.9478766877,13.6917408574,1561.4297049311,0.0657716542,0.8954117069,1.0000000000,1.1990408666e-15,0.0002561600,0.0000406202
rbs,20,Soft-Entropy-KKT(tau=5),5,54.6208962048,211.2200295563,-646.8738103552,14.9857020627,1687.1791037952,0.0342718540,0.9685759254,0.9999998339,4.3082959422e-11,0.0003130600,0.0000452072
users,10,Continuous-LP(HiGHS),5,21.4616380876,0.0000000000,21.4616380876,10.0000000000,1039.1383619124,0.0199297340,0.9800603280,0.0000000000,0.0000000000e+00,0.0024790000,0.0011118734
users,10,Hungarian(reference),5,21.4616380876,0.0000000000,21.4616380876,10.0000000000,1039.1383619124,0.0199297340,0.9800603280,0.0000000000,0.0000000000e+00,0.0000382800,0.0000080982
users,10,Soft-Entropy-KKT(tau=1),5,26.3150094996,25.4037932941,-42.5962794553,9.9999999903,1034.2849905004,0.0259379554,0.9754903482,0.9999998850,2.3428459173e-11,0.0006773600,0.0002554775
users,10,Soft-Entropy-KKT(tau=25),5,139.8002628650,624.0255177624,-1948.8934983080,8.7319992244,920.7997371350,0.0742217103,0.8664436651,1.0000000000,2.7533531011e-15,0.0002398200,0.0000619159
users,10,Soft-Entropy-KKT(tau=5),5,43.7142071922,118.2370020205,-337.9473472956,9.9574823161,1016.8857928078,0.0450315684,0.9587186290,0.9999999154,2.2192847560e-11,0.0003851000,0.0000977509
users,15,Continuous-LP(HiGHS),5,141.5570891220,0.0000000000,141.5570891220,12.0000000000,1463.4429108780,0.0239630360,0.9121083593,0.0000000000,0.0000000000e+00,0.0020927201,0.0001854708
users,15,Hungarian(reference),5,141.5570891220,0.0000000000,141.5570891220,12.0000000000,1463.4429108780,0.0239630360,0.9121083593,0.0000000000,0.0000000000e+00,0.0000465000,0.0000065864
users,15,Soft-Entropy-KKT(tau=1),5,147.1715910730,4.2249170550,65.5460750131,12.0000000000,1457.8284089270,0.0280829467,0.9084535787,0.9999997846,4.0951341517e-04,0.0036666600,0.0009534704
users,15,Soft-Entropy-KKT(tau=25),5,342.4249367641,148.0753991608,-2300.8714084658,10.7584302609,1262.5750632359,0.0761702479,0.7837262204,1.0000000000,1.0578937726e-11,0.0003127000,0.0000287768
users,15,Soft-Entropy-KKT(tau=5),5,175.0301613987,24.6470039088,-290.8109504260,11.9917481419,1429.9698386013,0.0447550777,0.8907147579,0.9999999259,4.8368042904e-11,0.0014675800,0.0005712327
users,20,Continuous-LP(HiGHS),5,503.2498730750,0.0000000000,503.2498730750,12.0000000000,1637.5501269250,0.0295662864,0.7669368409,0.0000000000,0.0000000000e+00,0.0028228800,0.0004035703
users,20,Hungarian(reference),5,503.2498730750,0.0000000000,503.2498730750,12.0000000000,1637.5501269250,0.0295662864,0.7669368409,0.0000000000,0.0000000000e+00,0.0000741400,0.0000535552
users,20,Soft-Entropy-KKT(tau=1),5,508.3838462248,1.0622843783,404.0517661069,12.0000000000,1632.4161537752,0.0323083340,0.7645211657,0.9999997643,1.7994400126e-04,0.0038983200,0.0009110446
users,20,Soft-Entropy-KKT(tau=25),5,736.0783429187,48.3969236648,-2539.8507589369,11.5049777731,1404.7216570813,0.0856354834,0.6570719505,1.0000000000,1.8528600876e-11,0.0002589200,0.0001253833
users,20,Soft-Entropy-KKT(tau=5),5,538.0840409963,7.2502917255,-43.3439724567,11.9999874599,1602.7159590037,0.0460565295,0.7504932132,0.9999995471,4.9366888355e-11,0.0010839800,0.0002747043
users,30,Continuous-LP(HiGHS),5,1252.4040400270,0.0000000000,1252.4040400270,12.0000000000,1843.7959599730,0.0258709368,0.5945385650,0.0000000000,0.0000000000e+00,0.0028082200,0.0006447512
users,30,Hungarian(reference),5,1252.4040400270,0.0000000000,1252.4040400270,12.0000000000,1843.7959599730,0.0258709368,0.5945385650,0.0000000000,0.0000000000e+00,0.0000533000,0.0000060282
users,30,Soft-Entropy-KKT(tau=1),5,1256.9738597343,0.3696899088,1099.9387721813,12.0000000000,1839.2261402657,0.0276515229,0.5930377749,0.9999996095,2.4280849470e-04,0.0034692600,0.0012090956
users,30,Soft-Entropy-KKT(tau=25),5,1499.9491587108,20.0691269050,-3145.5329389488,11.8276496308,1596.2508412892,0.0717920571,0.5131870649,1.0000000000,5.1514348343e-14,0.0002623800,0.0000331505
users,30,Soft-Entropy-KKT(tau=5),5,1289.6466737267,3.0325829097,440.7371644550,11.9999991585,1806.5533262733,0.0400684424,0.5821952546,0.9999989035,3.3042613090e-11,0.0010432400,0.0003363466
users,50,Continuous-LP(HiGHS),5,3438.2524325510,0.0000000000,3438.2524325510,12.0000000000,2082.7475674490,0.0176778073,0.3774756234,0.0000000000,0.0000000000e+00,0.0042299600,0.0009895494
users,50,Hungarian(reference),5,3438.2524325510,0.0000000000,3438.2524325510,12.0000000000,2082.7475674490,0.0176778073,0.3774756234,0.0000000000,0.0000000000e+00,0.0000599800,0.0000044982
users,50,Soft-Entropy-KKT(tau=1),5,3443.7734808685,0.1607636913,3171.4804056391,12.0000000000,2077.2265191315,0.0200650701,0.3764754480,0.9999997620,7.5159878321e-11,0.0029881000,0.0004145498
users,50,Soft-Entropy-KKT(tau=25),5,3720.2875842416,8.2079166290,-3890.1335219586,11.9668308201,1800.7124157584,0.0581374286,0.3264037075,1.0000000000,1.7763568394e-15,0.0002728600,0.0000406878
users,50,Soft-Entropy-KKT(tau=5),5,3477.6677032885,1.1472427515,2049.3206875021,12.0000000000,2043.3322967115,0.0296197208,0.3703361367,0.9999984217,1.4537904214e-11,0.0009058600,0.0001991358
users,80,Continuous-LP(HiGHS),5,6766.5501532010,0.0000000000,6766.5501532010,12.0000000000,2166.2498467990,0.0147166882,0.2433022244,0.0000000000,0.0000000000e+00,0.0056703000,0.0004258281
users,80,Hungarian(reference),5,6766.5501532010,0.0000000000,6766.5501532010,12.0000000000,2166.2498467990,0.0147166882,0.2433022244,0.0000000000,0.0000000000e+00,0.0000721000,0.0000091506
users,80,Soft-Entropy-KKT(tau=1),5,6772.5046082922,0.0883397860,6313.8216015113,12.0000000000,2160.2953917078,0.0172018871,0.2426342819,0.9999994485,7.2066197454e-11,0.0036058000,0.0005827603
users,80,Soft-Entropy-KKT(tau=25),5,7085.8059195614,4.7656165059,-5298.2548480107,11.9855268369,1846.9940804386,0.0560976276,0.2073172941,1.0000000000,2.1060819755e-11,0.0002404000,0.0000494614
users,80,Soft-Entropy-KKT(tau=5),5,6810.6062382513,0.6535647276,4444.8591209711,12.0000000000,2122.1937617487,0.0265007110,0.2383609652,0.9999976799,1.3244361163e-11,0.0007327600,0.0001136637
